"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.740","0.740","0.730","+0.010","0.740","0.735","0.905","0.705","568","3.78%","100","156350","67%","0.003","8.89","8.38","Active"
="0328","3REN","405","0.450","0.460","0.450","+0.010","0.470","0.440","0.490","0.200","173069","1.09%","67","9803325","65%","0.024","1.54","33.61","Active"
="5326","99SMART","101","2.850","2.870","2.850","+0.020","2.890","2.840","2.950","1.920","54300","0.44%","35","9435135","74%","0.102","5.84","49.17","Active"
="5326C1","99SMART-C1","301","0.415","0.425","0.420","+0.005","0.425","0.415","0.475","0.090","998","","-","45950","72%","0.049","","","Active"
="532610","99SMART-C10","301","0.105","0.105","0.110","-0.005","0.105","0.105","0.110","0.070","7","","100","646040","63%","","","","Active"
="532611","99SMART-C11","301","0.215","0.210","0.200","+0.010","0.215","0.210","0.230","0.125","1450","","72","423855","67%","0.024","","","Active"
="532612","99SMART-C12","301","","","0.130","","-","-","0.140","0.075","0","","-","588390","58%","0.017","","","Active"
="532613","99SMART-C13","301","0.155","0.150","0.150","-","0.155","0.150","0.175","0.065","1500","","7","342270","69%","","","","Active"
="532614","99SMART-C14","301","","","0.135","","-","-","0.140","0.085","0","","-","-","0%","","","","Active"
="532615","99SMART-C15","301","0.150","0.150","0.150","-","0.155","0.145","0.170","0.090","23080","","50","-","69%","","","","Active"
="532616","99SMART-C16","301","0.105","0.100","0.105","-0.005","0.105","0.100","0.120","0.100","110","","9","-","0%","","","","Active"
="532617","99SMART-C17","301","","","0.075","","-","-","0.080","0.070","0","","-","-","0%","","","","Active"
="5326C2","99SMART-C2","301","0.050","0.050","0.055","-0.005","0.055","0.050","0.055","0.020","2602","","77","280600","63%","0.009","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.160","0.160","0.160","-","0.165","0.160","0.180","0.070","30257","","34","1174310","68%","0.012","","","Active"
="5326C5","99SMART-C5","301","0.210","0.210","0.210","-","0.210","0.210","0.210","0.060","500","","-","339115","83%","0.023","","","Active"
="5326C6","99SMART-C6","301","0.285","0.285","0.295","-0.010","0.290","0.280","0.320","0.075","5329","","52","563165","74%","0.035","","","Active"
="5326C7","99SMART-C7","301","","","0.135","","-","-","0.145","0.060","0","","-","619310","73%","0.021","","","Active"
="5326C8","99SMART-C8","301","","","0.295","","-","-","0.315","0.095","0","","-","130045","75%","0.050","","","Active"
="5326C9","99SMART-C9","301","","","0.145","","-","-","0.200","0.110","0","","-","-","0%","","","","Active"
="5326CY","99SMART-CY","301","","","0.315","","-","-","0.355","0.070","0","","-","204785","69%","0.042","","","Active"
="5326CZ","99SMART-CZ","301","","","0.295","","-","-","0.295","0.065","0","","-","99610","81%","0.029","","","Active"
="0365","A1AKK","401","0.200","0.195","0.200","-0.005","0.205","0.195","0.255","0.195","11861","","24","534340","29%","-0.004","0.82","27.23","Active"
="0703CJ","A50CHIN-CJ","358","0.185","0.205","0.185","+0.020","0.210","0.185","0.265","0.130","165","","33","104550","34%","0.001","","","Active"
="0703CK","A50CHIN-CK","358","","","0.305","","-","-","0.305","0.265","0","","-","-","0%","","","","Active"
="07031A","A50CHIN-H1A","358","","","0.165","","-","-","0.185","0.160","0","","-","-","0%","","","","Active"
="070399","A50CHIN-H99","358","","","0.025","","-","-","0.030","0.025","0","","-","-","0%","","","","Active"
="7054","AASIA","125","","","0.095","","-","-","0.115","0.075","0","","-","87430","53%","0.002","-0.50","","Active"
="5238","AAX","101","1.690","1.710","1.690","+0.020","1.730","1.690","2.160","1.230","16129","","57","1210540","73%","0.049","51.30","3.34","Active"
="523828","AAX-C28","301","0.085","0.085","0.080","+0.005","0.085","0.085","0.170","0.040","7741","","64","860170","65%","0.001","","","Active"
="523829","AAX-C29","301","0.095","0.095","0.095","-","0.095","0.095","0.105","0.050","100","","100","-","0%","","","","Active"
="0800EA","ABFMY1","657","1.224","1.224","1.223","+0.001","1.224","1.224","1.266","1.190","14","","100","20215","25%","-0.006","","","Active"
="7167","ABLEGLOB","101","1.580","1.640","1.580","+0.060","1.660","1.570","2.000","1.260","7852","4.57%","84","133660","67%","0.009","22.43","7.27","Active"
="7086","ABLEGRP","102","0.080","0.080","0.080","-","0.080","0.080","0.100","0.070","250","","100","140130","50%","","0.01","917.91","Active"
="2488","ABMB","110","4.550","4.520","4.550","-0.030","4.550","4.520","5.400","3.930","4942","4.29%","39","1398510","63%","0.019","48.49","10.42","Active"
="248820","ABMB-C20","310","","","0.130","","-","-","0.160","0.080","0","","-","128240","41%","-0.009","","","Active"
="248821","ABMB-C21","310","","","0.055","","-","-","0.070","0.055","0","","-","-","0%","","","","Active"
="248822","ABMB-C22","310","","","0.060","","-","-","0.085","0.060","0","","-","-","0%","","","","Active"
="248823","ABMB-C23","310","","","0.150","","-","-","0.180","0.140","0","","-","-","0%","","","","Active"
="248824","ABMB-C24","310","","","0.145","","-","-","0.190","0.090","0","","-","229210","61%","","","","Active"
="248825","ABMB-C25","310","","","0.075","","-","-","0.075","0.045","0","","-","-","0%","","","","Active"
="248826","ABMB-C26","310","","","0.080","","-","-","0.080","0.080","0","","-","-","0%","","","","Active"
="7131","ACME","120","0.135","0.130","0.135","-0.005","0.135","0.130","0.210","0.105","5724","","10","610005","70%","0.002","1.43","9.32","Active"
="0218","ACO","402","0.200","0.200","0.205","-0.005","0.200","0.200","0.255","0.185","1210","1.00%","-","213990","50%","","1.42","14.10","Active"
="0276","ADB","405","1.030","1.030","1.030","-","1.030","1.020","1.290","0.830","1628","3.88%","78","478570","42%","-0.013","3.56","28.95","Active"
="5281","ADVCON","103","0.210","0.205","0.210","-0.005","0.210","0.205","0.260","0.190","1281","","100","491820","42%","-0.003","-3.82","","Active"
="7191","ADVENTA","162","0.170","0.195","0.170","+0.025","0.200","0.170","0.335","0.150","31709","","67","166770","57%","","0.69","28.70","Active"
="7146","AEM","102","0.060","0.065","0.060","+0.005","0.065","0.060","0.090","0.035","505","","34","78895","60%","0.004","-6.84","","Active"
="0181","AEMULUS","405","0.260","0.265","0.260","+0.005","0.270","0.260","0.320","0.180","15361","","46","1190950","53%","0.003","-3.26","","Active"
="6599","AEON","101","1.270","1.280","1.270","+0.010","1.310","1.270","1.580","1.220","14253","3.52%","57","1842125","58%","-0.002","9.12","14.04","Active"
="659939","AEON-C39","301","","","0.045","","-","-","0.115","0.045","0","","-","-","0%","","","","Active"
="659940","AEON-C40","301","","","0.025","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="659941","AEON-C41","301","0.045","0.045","0.045","-","0.050","0.045","0.105","0.035","5350","","68","474365","44%","-0.005","","","Active"
="659942","AEON-C42","301","","","0.045","","-","-","0.055","0.045","0","","-","-","0%","","","","Active"
="659943","AEON-C43","301","","","0.055","","-","-","0.060","0.040","0","","-","-","0%","","","","Active"
="659944","AEON-C44","301","0.045","0.045","0.045","-","0.045","0.045","0.060","0.040","1500","","67","-","0%","","","","Active"
="5139","AEONCR","110","5.450","5.510","5.450","+0.060","5.550","5.450","7.220","4.850","5301","5.22%","78","798220","65%","0.101","72.58","7.59","Active"
="5185","AFFIN","110","2.370","2.370","2.370","-","2.390","2.360","3.030","2.210","7546","","59","1023690","57%","0.012","21.45","11.78","Active"
="518523","AFFIN-C23","310","","","0.020","","-","-","0.150","0.020","0","","-","-","0%","","","","Active"
="518524","AFFIN-C24","310","","","0.025","","-","-","0.040","0.025","0","","-","-","0%","","","","Active"
="518525","AFFIN-C25","310","","","0.090","","-","-","0.105","0.090","0","","-","-","0%","","","","Active"
="518526","AFFIN-C26","310","","","-","","-","-","","","0","","-","-","0%","","","","New"
="5198","AFUJIYA","102","0.270","0.285","0.270","+0.015","0.285","0.270","0.400","0.240","95","","56","18170","49%","-0.004","-7.06","","Active"
="0258","AGMO","405","0.440","0.445","0.445","-","0.450","0.435","0.610","0.325","3022","3.37%","55","1066875","47%","-0.006","2.50","15.71","Active"
="0309","AGRICOR","401","0.475","0.480","0.475","+0.005","0.480","0.470","0.575","0.335","7450","","87","74770","64%","","-0.40","","Active"
="0299","AGX","464","0.455","0.465","0.470","-0.005","0.465","0.455","0.630","0.445","75","1.94%","7","191110","47%","-0.007","2.94","15.98","Active"
="7315","AHB","101","0.035","0.035","0.040","-0.005","0.040","0.035","0.050","0.025","21814","","48","2951910","100%","0.001","-0.80","","Active"
="7315WC","AHB-WC","101","0.015","0.015","0.015","-","0.015","0.015","0.020","0.005","1800","","100","552725","50%","","","","Active"
="7090","AHEALTH","162","2.420","2.470","2.420","+0.050","2.480","2.420","2.750","1.900","958","3.64%","75","55900","46%","-0.001","10.70","23.27","Active"
="0122","AIM","402","0.030","0.030","0.035","-0.005","0.030","0.030","0.095","0.015","3","","-","201145","67%","0.002","-1.68","","Active"
="0122WA","AIM-WA","402","","","0.015","","-","-","0.025","0.005","0","","-","331760","60%","","","","Active"
="0209","AIMFLEX","405","0.100","0.100","0.100","-","0.100","0.095","0.185","0.075","1757","","12","2589160","75%","0.003","0.56","17.60","Active"
="7219","AIZO","102","0.075","0.075","0.075","-","0.080","0.075","0.160","0.060","19289","","8","3718055","75%","0.001","-0.39","","Active"
="7219PA","AIZO-PA","102","0.020","0.020","0.025","-0.005","0.025","0.020","0.065","0.015","33539","","3","308665","60%","","","","Active"
="2658","AJI","101","13.640","13.980","13.640","+0.340","14.000","13.640","15.800","12.360","532","17.91%","80","37185","57%","0.185","81.68","17.11","Active"
="7609","AJIYA","102","2.530","2.520","2.520","-","2.550","2.490","2.590","1.370","582","","28","565185","84%","0.071","18.97","13.86","Active"
="5115","ALAM","161","0.175","0.175","0.170","+0.005","0.180","0.175","0.290","0.025","10000","","67","3133975","57%","-0.003","2.22","1.71","Active, Alert"
="5115WB","ALAM-WB","161","0.050","0.050","0.050","-","0.050","0.050","0.075","0.040","2679","","-","2105880","44%","","","","Active, Alert"
="5116","ALAQAR","150","1.250","1.260","1.240","+0.020","1.260","1.250","1.420","1.200","1448","5.77%","82","39955","50%","0.001","6.94","18.15","Active"
="2674","ALCOM","102","","","0.810","","-","-","0.820","0.620","0","3.70%","-","114640","64%","0.009","-2.91","","Active"
="058243","ALIBABA-C43","358","","","-","","-","-","0.160","0.005","0","","-","393070","38%","-0.014","","","Delisted"
="058244","ALIBABA-C44","358","0.260","0.255","0.265","-0.010","0.260","0.245","0.320","0.050","21252","","51","1732705","67%","0.051","","","Active"
="058245","ALIBABA-C45","358","0.390","0.400","0.400","-","0.400","0.360","0.500","0.030","35","","29","178175","69%","0.093","","","Active"
="058246","ALIBABA-C46","358","0.265","0.270","0.295","-0.025","0.300","0.265","0.360","0.045","1788","","78","266775","66%","0.062","","","Active"
="058247","ALIBABA-C47","358","0.440","0.405","0.445","-0.040","0.445","0.405","0.515","0.095","755","","73","104445","68%","0.100","","","Active"
="058248","ALIBABA-C48","358","","","0.705","","-","-","1.000","0.200","0","","-","45395","62%","","","","Active"
="05821E","ALIBABA-H1E","358","","","-","","-","-","0.180","0.005","0","","-","214510","27%","-0.021","","","Delisted"
="05821F","ALIBABA-H1F","358","0.020","0.020","0.015","+0.005","0.020","0.020","0.080","0.015","20000","","100","-","14%","","","","Active"
="1163","ALLIANZ","110","18.540","18.380","18.400","-0.020","18.560","18.100","21.060","16.500","1138","1.44%","45","139330","38%","0.070","401.46","4.36","Active"
="1163PA","ALLIANZ-PA","110","18.000","18.000","17.980","+0.020","18.020","17.960","22.600","16.680","82","","10","108030","60%","0.018","","","Active"
="0303","ALPHA","462","0.335","0.335","0.330","+0.005","0.340","0.330","0.370","0.265","59407","2.84%","68","6184420","71%","0.010","1.18","27.80","Active"
="0079","ALRICH","405","0.015","0.015","0.020","-0.005","0.015","0.015","0.035","0.015","1","","-","1285245","50%","","0.11","10.67","Active"
="5269","ALSREIT","150","0.490","0.480","0.480","-","0.490","0.480","0.500","0.330","360","1.46%","3","40580","60%","0.016","0.91","52.69","Active"
="1015","AMBANK","110","5.840","5.860","5.840","+0.020","5.880","5.800","5.940","4.930","35945","5.15%","72","6807390","75%","0.100","60.56","9.70","Active"
="101552","AMBANK-C52","310","","","0.030","","-","-","0.100","0.030","0","","-","177750","46%","","","","Active"
="101553","AMBANK-C53","310","","","0.045","","-","-","0.065","0.035","0","","-","-","36%","","","","Active"
="101554","AMBANK-C54","310","","","0.105","","-","-","0.110","0.075","0","","-","-","67%","","","","Active"
="101555","AMBANK-C55","310","0.245","0.245","0.245","-","0.245","0.245","0.250","0.125","100","","100","151550","72%","","","","Active"
="101556","AMBANK-C56","310","","","0.050","","-","-","0.050","0.050","0","","-","-","0%","","","","Active"
="101557","AMBANK-C57","310","","","0.235","","-","-","0.235","0.190","0","","-","-","0%","","","","Active"
="0744C1","AMD-C1","358","0.130","0.130","0.095","+0.035","0.130","0.130","0.095","0.040","100","","-","-","0%","","","","Active"
="5293","AME","103","1.550","1.550","1.550","-","1.550","1.530","1.840","1.460","1873","3.87%","58","310800","58%","","14.41","8.10","Active"
="5293WA","AME-WA","103","0.050","0.065","0.070","-0.005","0.070","0.045","0.190","0.035","2910","","32","83065","50%","-0.004","","","Active"
="5307","AMEREIT","150","1.530","1.550","1.550","-","1.550","1.530","1.730","1.360","1314","4.79%","68","66815","61%","","9.12","17.10","Active"
="5120","AMFIRST","150","0.315","0.315","0.320","-0.005","0.315","0.315","0.320","0.270","6309","7.62%","8","309495","63%","0.003","3.59","8.77","Active"
="03011","AMLEX","705","","","0.250","","-","-","0.450","0.200","0","","-","411665","45%","-0.032","","","Active"
="7031","AMTEL","163","0.455","0.465","0.450","+0.015","0.465","0.455","0.575","0.315","840","","88","53385","72%","0.018","5.69","8.44","Active"
="6351","AMWAY","101","4.950","4.950","4.950","-","5.000","4.940","7.060","4.520","118","12.12%","77","18165","59%","0.004","58.58","8.45","Active"
="7083","ANALABS","102","","","1.840","","-","-","1.920","1.550","0","2.17%","-","10190","56%","0.027","33.88","5.43","Active"
="0048","ANCOMLB","464","0.100","0.100","0.100","-","0.105","0.100","0.140","0.085","3611","","5","404770","67%","0.001","-0.21","66.94","Active"
="4758","ANCOMNY","102","0.980","0.970","0.980","-0.010","0.980","0.950","1.100","0.875","12016","0.05%","66","3202800","86%","0.012","6.09","17.68","Active"
="4758CT","ANCOMNY-CT","302","","","0.020","","-","-","0.020","0.015","0","","-","-","0%","","","","Active"
="4758CU","ANCOMNY-CU","302","","","0.045","","-","-","0.110","0.045","0","","-","-","0%","","","","Active"
="0226","ANEKA","403","0.145","0.145","0.145","-","0.145","0.140","0.180","0.125","1417","","1","291985","43%","","0.50","23.15","Active"
="6556","ANNJOO","102","0.695","0.700","0.695","+0.005","0.705","0.690","0.945","0.560","4181","3.57%","52","359890","58%","0.003","-40.54","","Active"
="6556WC","ANNJOO-WC","102","0.200","0.200","0.200","-","0.210","0.200","0.345","0.125","2634","","39","80115","55%","0.002","","","Active"
="03051","AORB","701","","","3.270","","-","-","3.420","3.270","0","","-","43155","55%","0.546","","","Active"
="5568","APB","102","0.200","0.205","0.205","-","0.205","0.200","0.485","0.180","3020","","36","106430","53%","","-70.73","","Active"
="5088","APEX","110","0.865","0.865","0.900","-0.035","0.865","0.865","1.010","0.820","327","","59","154665","50%","","3.61","25.24","Active"
="5015","APM","102","3.200","3.200","3.140","+0.060","3.200","3.200","3.580","2.700","40","8.75%","-","23540","51%","-0.032","43.79","5.56","Active"
="6432","APOLLO","101","","","6.400","","-","-","7.030","5.700","0","7.81%","-","8485","50%","0.012","50.22","12.74","Active"
="0119","APPASIA","405","0.110","0.110","0.110","-","0.110","0.105","0.155","0.090","2051","","-","327625","67%","0.002","0.24","56.49","Active"
="052819","APPLE-C19","358","","","0.110","","-","-","0.110","0.110","0","","-","-","0%","","","","Active"
="7214","ARANK","102","0.460","0.460","0.475","-0.015","0.460","0.460","0.535","0.410","1","4.89%","-","22050","58%","0.004","6.67","9.30","Active"
="7181","ARBB","105","0.040","0.035","0.040","-0.005","0.040","0.035","0.045","0.025","1870","","17","1584870","60%","0.001","0.15","23.16","Active"
="7007","ARK","120","","","0.255","","-","-","0.380","0.220","0","","-","5340","39%","0.003","3.26","7.82","Active"
="7218","ARKA","164","0.700","0.700","0.620","+0.080","0.700","0.700","1.900","0.620","116","","100","14905","25%","-0.097","-11.01","","Active"
="5210","ARMADA","161","0.340","0.340","0.340","-","0.345","0.335","0.695","0.335","170148","2.94%","68","21869380","50%","-0.008","10.70","3.07","Active"
="52101B","ARMADA-C1B","361","","","0.005","","-","-","0.040","0.005","0","","-","-","0%","","","","Active"
="52101C","ARMADA-C1C","361","","","0.020","","-","-","0.075","0.020","0","","-","243480","32%","","","","Active"
="52101D","ARMADA-C1D","361","","","0.010","","-","-","0.065","0.010","0","","-","-","0%","","","","Active"
="52101E","ARMADA-C1E","361","","","0.015","","-","-","0.040","0.015","0","","-","-","0%","","","","Active"
="52101F","ARMADA-C1F","361","","","0.010","","-","-","0.025","0.010","0","","-","-","33%","","","","Active"
="52101G","ARMADA-C1G","361","","","0.010","","-","-","0.025","0.010","0","","-","-","0%","","","","Active"
="52101H","ARMADA-C1H","361","0.010","0.010","0.010","-","0.010","0.010","0.015","0.010","236","","-","-","0%","","","","Active"
="52101I","ARMADA-C1I","361","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="52101J","ARMADA-C1J","361","","","0.150","","-","-","","","0","","-","-","0%","","","","Active"
="521098","ARMADA-C98","361","","","0.005","","-","-","0.060","0.005","0","","-","-","0%","","","","Active"
="5127","ARREIT","150","","","0.365","","-","-","0.425","0.320","0","","-","75625","56%","-0.001","0.87","42.03","Active"
="0038","ARTRONIQ","402","0.085","0.085","0.085","-","0.085","0.085","0.120","0.055","1251","","-","294990","50%","","-1.37","","Active"
="0038WA","ARTRONIQ-WA","402","0.005","0.005","0.005","-","0.005","0.005","0.040","0.005","313","","100","468585","40%","","","","Active"
="1481","ASB","101","0.085","0.085","0.085","-","0.090","0.080","0.105","0.060","77095","0.59%","81","7398235","83%","0.004","-2.32","","Active"
="0068","ASDION","405","0.030","0.030","0.030","-","0.035","0.030","0.035","0.015","4290","","37","529610","60%","0.002","0.75","3.10","Active, Alert"
="7722","ASIABRN","101","0.485","0.515","0.520","-0.005","0.515","0.485","0.580","0.420","22","3.88%","14","13765","49%","-0.002","1.29","39.99","Active"
="7129","ASIAFLE","101","1.340","1.340","1.340","-","1.340","1.340","1.900","1.300","270","1.49%","52","70045","48%","0.003","-22.53","","Active"
="4057","ASIAPAC","120","0.105","0.105","0.105","-","0.105","0.105","0.115","0.080","2760","","-","1591540","60%","0.002","8.27","1.29","Active"
="0105","ASIAPLY","402","0.185","0.185","0.190","-0.005","0.190","0.185","0.195","0.060","33436","","74","5234425","67%","0.008","-1.05","","Active"
="0362","ASM","402","0.170","0.170","0.170","-","0.170","0.165","0.205","0.155","10568","","100","1500020","40%","-0.001","1.30","17.24","Active"
="7020","ASTEEL","102","","","0.075","","-","-","0.090","0.060","0","","-","209900","67%","0.001","-0.47","","Active"
="7162","ASTINO","102","0.520","0.535","0.520","+0.015","0.535","0.520","0.640","0.490","950","","-","73980","53%","","7.24","7.67","Active"
="03032","ASTRA","701","","","0.500","","-","-","0.500","0.500","0","","-","-","0%","","","","Active"
="6399","ASTRO","163","0.130","0.130","0.125","+0.005","0.130","0.125","0.265","0.125","10551","","89","5276165","25%","-0.004","2.47","5.33","Active"
="5302","ATECH","102","1.080","1.130","1.070","+0.060","1.140","1.080","3.630","0.980","38402","7.70%","65","1074540","59%","0.008","14.70","24.09","Active"
="5302CL","ATECH-CL","302","0.025","0.025","0.030","-0.005","0.025","0.025","0.100","0.020","2580","","50","168000","50%","-0.007","","","Active"
="5302CM","ATECH-CM","302","","","0.150","","-","-","0.150","0.150","0","","-","-","0%","","","","Active"
="5302CN","ATECH-CN","302","0.055","0.055","0.045","+0.010","0.055","0.055","0.065","0.040","2000","","-","324190","53%","","","","Active"
="5302CO","ATECH-CO","302","0.045","0.045","0.045","-","0.045","0.045","0.045","0.040","580","","-","-","0%","","","","Active"
="5302CP","ATECH-CP","302","0.055","0.060","0.055","+0.005","0.060","0.055","0.065","0.050","2490","","78","-","0%","","","","Active"
="5302WA","ATECH-WA","102","0.260","0.265","0.260","+0.005","0.275","0.260","0.415","0.185","35465","","73","1129110","61%","0.009","","","Active"
="7048","ATLAN","101","","","2.450","","-","-","2.850","2.330","0","5.20%","-","3875","50%","-0.007","20.00","9.36","Active"
="5130","ATRIUM","150","1.310","1.300","1.300","-","1.310","1.300","1.340","1.200","1430","6.55%","54","118755","50%","","17.55","7.41","Active"
="0098","AUMAS","402","0.805","0.790","0.805","-0.015","0.810","0.780","0.995","0.510","49274","","36","8363360","75%","0.053","2.49","44.25","Active"
="5025","AURO","102","0.145","0.140","0.145","-0.005","0.145","0.140","0.185","0.125","1678","","3","2392240","37%","-0.002","-1.26","","Active"
="03037","AURORA","701","","","0.220","","-","-","","","0","","-","-","0%","","","","Active"
="03059","AUTORIS","710","","","0.495","","-","-","0.500","0.200","0","","-","-","0%","","","","Active"
="5182","AVALAND","120","0.250","0.250","0.250","-","0.250","0.240","0.340","0.200","17485","","15","354365","43%","","6.79","3.68","Active"
="5259","AVANGAAD","164","0.325","0.325","0.325","-","0.330","0.320","0.365","0.260","53201","","67","7800790","83%","0.006","16.45","2.79","Active"
="8885","AVI","101","0.070","0.070","0.070","-","0.075","0.065","0.085","0.030","89947","","37","3932445","25%","","-0.59","","Active"
="5204","AWANTEC","105","0.335","0.345","0.335","+0.010","0.345","0.330","0.375","0.265","7770","","49","935890","67%","0.007","-3.93","","Active"
="5204WA","AWANTEC-WA","105","0.005","0.005","0.005","-","0.005","0.005","0.130","0.005","10000","","100","897000","33%","-0.001","","","Active"
="7579","AWC","102","0.690","0.690","0.690","-","0.700","0.685","1.140","0.500","6755","1.81%","33","1360455","74%","0.035","7.60","9.55","Active"
="6888","AXIATA","163","2.670","2.640","2.670","-0.030","2.670","2.630","2.740","1.630","62266","3.79%","82","5083340","53%","0.023","10.30","15.17","Active"
="68881M","AXIATA-C1M","363","","","0.235","","-","-","0.260","0.085","0","","-","134390","56%","0.030","","","Active"
="68881N","AXIATA-C1N","363","0.280","0.280","0.260","+0.020","0.280","0.280","0.335","0.075","200","","100","148000","61%","0.008","","","Active"
="68881O","AXIATA-C1O","363","","","0.090","","-","-","0.150","0.060","0","","-","-","0%","","","","Active"
="68881P","AXIATA-C1P","363","","","0.180","","-","-","0.215","0.180","0","","-","-","0%","","","","Active"
="68881Q","AXIATA-C1Q","363","","","0.175","","-","-","0.195","0.090","0","","-","-","64%","","","","Active"
="68881R","AXIATA-C1R","363","","","0.155","","-","-","0.190","0.130","0","","-","-","0%","","","","Active"
="68881S","AXIATA-C1S","363","","","0.100","","-","-","0.125","0.100","0","","-","-","0%","","","","Active"
="68881T","AXIATA-C1T","363","","","0.110","","-","-","0.140","0.110","0","","-","-","0%","","","","Active"
="68881U","AXIATA-C1U","363","0.065","0.065","0.060","+0.005","0.065","0.065","0.065","0.030","192","","48","-","58%","","","","Active"
="5106","AXREIT","150","2.090","2.100","2.090","+0.010","2.110","2.080","2.130","1.710","79619","4.41%","67","3153010","62%","0.014","11.80","20.21","Active"
="7120","AXTERIA","120","","","0.095","","-","-","0.130","0.080","0","","-","480330","56%","0.002","-1049.10","","Active"
="2305","AYER","120","7.550","7.480","7.560","-0.080","7.550","7.480","9.000","6.510","33","","38","2915","66%","0.110","49.33","15.16","Active"
="5021","AYS","102","0.260","0.260","0.255","+0.005","0.260","0.250","0.340","0.220","1073","","72","68565","44%","","-1.08","","Active"
="5329","AZAMJAYA","103","1.040","1.040","1.040","-","1.040","1.030","1.320","0.790","1145","","60","244965","55%","-0.002","2.56","40.56","Active"
="7078","AZRB","103","0.195","0.205","0.195","+0.010","0.205","0.195","0.255","0.150","6578","","72","601985","17%","-0.006","13.86","1.59","Active"
="03012","BABA","701","","","0.440","","-","-","0.440","0.440","0","","-","-","97%","","","","Active"
="0736C4","BAIDU-C4","358","0.345","0.360","0.400","-0.040","0.360","0.345","0.410","0.095","100","","100","62195","69%","","","","Active"
="0736C5","BAIDU-C5","358","","","0.420","","-","-","0.465","0.055","0","","-","109650","78%","0.094","","","Active"
="0736C6","BAIDU-C6","358","","","0.465","","-","-","0.465","0.465","0","","-","-","0%","","","","Active"
="4162","BAT","101","4.900","4.950","4.940","+0.010","5.000","4.900","8.260","4.160","1579","11.92%","46","270560","24%","0.033","64.10","7.72","Active"
="416237","BAT-C37","301","0.035","0.035","0.035","-","0.035","0.030","0.100","0.020","15500","","73","846740","25%","-0.001","","","Active"
="416238","BAT-C38","301","0.035","0.035","0.040","-0.005","0.035","0.035","0.090","0.025","2654","","55","186380","52%","0.001","","","Active"
="416239","BAT-C39","301","0.170","0.170","0.165","+0.005","0.170","0.170","0.240","0.135","200","","100","56535","55%","0.007","","","Active"
="416240","BAT-C40","301","","","0.045","","-","-","0.055","0.045","0","","-","-","0%","","","","Active"
="5248","BAUTO","101","0.655","0.665","0.650","+0.015","0.665","0.650","2.360","0.600","44298","25.19%","40","5159635","43%","-0.003","13.35","4.65","Active"
="524845","BAUTO-C45","301","","","0.005","","-","-","0.115","0.005","0","","-","1610550","29%","-0.029","","","Active"
="524846","BAUTO-C46","301","","","0.005","","-","-","0.040","0.005","0","","-","1635110","33%","-0.003","","","Active"
="524847","BAUTO-C47","301","","","0.005","","-","-","0.025","0.005","0","","-","210320","33%","-0.003","","","Active"
="524848","BAUTO-C48","301","","","0.035","","-","-","0.075","0.025","0","","-","168690","47%","-0.007","","","Active"
="524849","BAUTO-C49","301","","","0.030","","-","-","0.075","0.025","0","","-","1162375","57%","","","","Active"
="524850","BAUTO-C50","301","","","0.060","","-","-","0.080","0.050","0","","-","-","0%","","","","Active"
="524851","BAUTO-C51","301","","","-","","-","-","","","0","","-","-","0%","","","","New"
="6602","BCB","120","0.265","0.280","0.280","-","0.280","0.265","0.360","0.260","44","","23","34445","64%","0.003","2.19","12.02","Active"
="0187","BCMALL","402","","","0.010","","-","-","0.015","0.005","0","","-","1816790","50%","","-0.44","","Active"
="6173","BDB","120","0.245","0.285","0.255","+0.030","0.295","0.245","0.300","0.210","39442","","80","48080","88%","0.006","0.84","34.17","Active"
="6378","BEDI","120","0.320","0.325","0.330","-0.005","0.335","0.320","0.565","0.260","930","","80","45365","80%","","-1.48","","Active"
="5190","BENALEC","103","0.090","0.095","0.090","+0.005","0.095","0.090","0.130","0.080","3701","","-","670330","50%","0.002","1.26","8.06","Active"
="9814","BERTAM","120","0.110","0.110","0.115","-0.005","0.110","0.110","0.210","0.090","500","","97","63530","33%","-0.001","0.50","29.31","Active"
="9814WA","BERTAM-WA","120","","","0.020","","-","-","0.045","0.015","0","","-","187490","50%","-0.002","","","Active"
="7668","BESHOM","101","0.685","0.700","0.690","+0.010","0.700","0.680","0.910","0.580","1129","5.71%","33","50865","62%","0.009","2.96","24.21","Active"
="0263","BETA","402","0.450","0.460","0.445","+0.015","0.465","0.450","0.475","0.355","11509","9.24%","67","599705","76%","0.007","5.58","8.24","Active"
="8133","BHIC","164","0.290","0.295","0.290","+0.005","0.295","0.285","0.475","0.210","997","0.10%","69","310790","53%","0.007","1.34","22.00","Active"
="7005","BIG","102","0.585","0.605","0.585","+0.020","0.625","0.585","0.700","0.485","121","","17","239325","60%","0.025","7.31","8.28","Active"
